"consecutivo","fecha_recepcion","folio_minutario","dependencia_nombre","folio_direccion","asunto","fecha_oficio_tics","numero_folio","anio_folio","realizo","fecha_acuse","estado_nombre","capturo","observaciones"
"1","2026-01-05","","SECRETARÍA DEL H. AYUNTAMIENTO","SHA/SAE/DAC/9050/2026","HABILITACIÓN DE INSTALACIONES DEL PLANETARIO",,"","2026","","2026-01-05","Archivado","",""
"2","2026-01-07","","SECRETARÍA DEL H. AYUNTAMIENTO","SHA/SAE/DAC/9043/2026","HABILITACIÓN INSTALACIONES SANTO TOMAS CHICONAUTLA",,"","2026","","2026-01-07","Archivado","",""
"3","2026-01-27","","DIRECCION DE BIENESTAR","DBPCyT/CREP/0085/2026","SOLICITUD DE EXPEDICION DE FACTURAS PARA ALTA DE BIENES",,"","2026","","2026-01-27","Archivado","",""
"4","2026-01-21","","CENTRO DE CONTROL,COMANDO, COMUNICACIÓN Y COMPUTO C-4","DGSCYT/CCCYC4/0091/01/2026","",,"","2026","","2026-01-21","Archivado","",""
"5","2026-02-17","","CORDINACIÓN ADMINISTRATIVA DE LA TESORERÍA","TM/ECA/CA/093/2026","REQUERIMIENTOS PARA INCIDENCIAS",,"","2026","","2026-02-17","Archivado","",""
"6","2026-02-18","","DIRECCIÓN DE ADMINISTRACIÓN","CIRCULAR 0018","SUSPENCIÓN DE SUMINISTRO DE ENERGIA ELECTRICA",,"","2026","","2026-02-18","Archivado","",""
"7","2026-02-17","","SAPASE","DG/CTIC´s/137/2026","HABILITACIÓN DE ACCESOS PBX VIRTUAL, GESTIÓN DE DATO, ENLACE CRÍTICO DE MONITOREO",,"","2026","","2026-02-20","Archivado","",""
"8","2026-03-10","","DIRECCION DE ADMINISTRACION","DA/ECA/SSG/1931/2026","ESPACIO EN ALMACEN DE IZCALLI JARDINES",,"","2026","","2026-03-10","Archivado","",""
"9","2026-03-17","","","","",,"","2026","",,"De Conocimiento","",""
"10",,"","","","",,"","2026","",,"De Conocimiento","",""
"11",,"","","","",,"","2026","",,"De Conocimiento","",""
"12",,"","","","",,"","2026","",,"De Conocimiento","",""
"13",,"","","","",,"","2026","",,"De Conocimiento","",""
"14",,"","","","",,"","2026","",,"De Conocimiento","",""
